,Date,Low,High,Close,Open
3858,2020-09-03,1906.9507,1937.5968,1915.0656,1929.4366
3857,2020-09-02,1890.9023,1937.5968,1929.9806,1899.5158
3856,2020-09-01,1870.9098,1923.7698,1892.761,1899.5158
3855,2020-08-31,1868.9151,1969.331,1884.6008,1969.331
3854,2020-08-28,1909.6708,1932.9727,1918.1937,1922.1831
3853,2020-08-27,1907.4494,1948.0238,1914.6576,1945.9837
3852,2020-08-26,1856.2214,1946.7997,1937.4608,1892.625
3851,2020-08-25,1884.3741,1914.2949,1887.7289,1908.5827
3850,2020-08-24,1876.9846,1908.2654,1900.4679,1902.9613
3849,2020-08-21,1883.2408,1922.0018,1887.5022,1922.0018
3848,2020-08-20,1892.9877,1925.7192,1900.7399,1920.4151
3847,2020-08-19,1923.4071,1953.0106,1934.1514,1942.0849
3846,2020-08-18,1888.5902,1933.8794,1921.0497,1894.7104
3845,2020-08-17,1876.8486,1910.6681,1896.2971,1906.9054
3844,2020-08-14,1895.1637,1955.2773,1916.8336,1924.2685
3843,2020-08-13,1913.1162,1939.4102,1924.2685,1934.4234
3842,2020-08-12,1910.0335,1944.7597,1929.0739,1925.8099
3841,2020-08-11,1905.092,1958.4507,1934.9221,1938.2315
3840,2020-08-10,1911.5295,1962.9388,1921.8204,1955.2773
3839,2020-08-07,1922.2738,1955.7306,1946.3917,1926.3085
3838,2020-08-06,1910.3508,1965.2962,1935.3754,1958.4507
3837,2020-08-05,1920.3697,1990.1849,1928.2126,1967.5176
3836,2020-08-04,1814.5136,1964.7975,1950.4265,1828.8847
3835,2020-08-03,1817.007,1866.875,1821.0418,1866.875
3834,2020-07-31,1861.7069,1931.114,1874.0832,1926.7165
3833,2020-07-30,1878.934,1939.4102,1911.8922,1904.0493
3832,2020-07-29,1877.7553,1981.2993,1900.2865,1976.5845
3831,2020-07-28,1951.3785,1988.7342,1974.2724,1961.8961
3830,2020-07-27,1929.482,1993.5396,1954.6879,1985.1981
3829,2020-07-24,1864.0643,1960.9894,1945.9384,1867.7817
3828,2020-07-23,1805.3107,1884.9181,1868.371,1817.0977
3827,2020-07-22,1777.1127,1822.4472,1817.0977,1795.2918
3826,2020-07-21,1754.4454,1792.3451,1787.857,1760.6109
3825,2020-07-20,1722.3486,1751.0453,1740.2104,1740.8904
3824,2020-07-17,1666.6778,1740.7544,1733.0022,1672.8433
3823,2020-07-16,1643.1492,1693.6972,1671.1206,1677.3768
3822,2020-07-15,1630.3649,1793.8864,1673.3873,1757.8002
3821,2020-07-14,1711.6496,1759.8856,1737.8077,1754.1734
3820,2020-07-13,1722.8019,1765.3257,1753.8107,1730.4181
3819,2020-07-10,1654.3468,1708.5669,1703.2174,1659.1523
3818,2020-07-09,1620.2553,1663.2324,1654.3468,1638.8424
3817,2020-07-08,1623.066,1663.5951,1629.6395,1655.6162
3816,2020-07-07,1637.8451,1695.5106,1653.7575,1695.5106
3815,2020-07-06,1624.7887,1684.6303,1678.6461,1633.0849
3814,2020-07-03,1603.4815,1625.5141,1620.7086,1614.8605
3813,2020-07-02,1572.5634,1601.9401,1596.2733,1586.7077
3812,2020-07-01,1549.3068,1585.4837,1575.7368,1557.6937
3811,2020-06-30,1537.7465,1578.2755,1544.4107,1574.2861
3810,2020-06-29,1554.9736,1576.6435,1562.3631,1566.7606
3809,2020-06-26,1556.9683,1588.0678,1579.9982,1568.8913
3808,2020-06-25,1553.9309,1585.8011,1557.6483,1567.6673
3807,2020-06-24,1552.7975,1606.6549,1566.1712,1577.4595
3806,2020-06-23,1555.6989,1599.5374,1559.5524,1590.3345
3805,2020-06-22,1572.9714,1635.7597,1584.169,1609.4203
3804,2020-06-19,1505.6496,1621.706,1595.3213,1518.434
3803,2020-06-18,1455.7364,1509.6391,1501.7055,1455.7364
3802,2020-06-17,1452.5176,1482.393,1464.6673,1457.9577
3801,2020-06-16,1437.2399,1494.0893,1466.5713,1488.3319
3800,2020-06-15,1415.842,1474.9129,1464.3046,1429.8504
3799,2020-06-12,1355.5018,1444.3574,1440.5493,1355.5018
3798,2020-06-11,1388.0973,1422.5968,1394.0361,1422.5968
3797,2020-06-10,1396.8468,1431.6637,1425.3169,1397.3002
3796,2020-06-09,1390.0013,1434.7011,1393.6734,1432.5704
3795,2020-06-08,1419.0154,1472.4648,1423.5489,1472.4648
3794,2020-06-05,1427.4023,1466.7526,1433.1144,1452.4269
3793,2020-06-04,1396.3028,1440.7306,1432.5251,1396.3028
3792,2020-06-03,1390.1827,1413.5299,1398.5242,1400.8363
3791,2020-06-02,1379.0757,1396.3028,1392.7667,1379.0757
3790,2020-06-01,1337.9573,1395.5775,1378.577,1341.9014
3789,2020-05-29,1317.4208,1334.1945,1328.4824,1333.4692
3788,2020-05-28,1315.1994,1341.1761,1335.2372,1319.2342
3787,2020-05-27,1280.4278,1318.4181,1311.9353,1300.1937
3786,2020-05-26,1284.1452,1313.794,1290.8548,1305.0898
3785,2020-05-22,1293.6655,1322.4076,1298.0176,1319.0528
3784,2020-05-21,1292.3508,1324.5383,1305.6791,1303.8204
3783,2020-05-20,1263.6087,1310.9379,1300.783,1275.985
3782,2020-05-19,1272.993,1325.4903,1276.7557,1325.4903
3781,2020-05-18,1294.7535,1343.7148,1306.2232,1334.4665
3780,2020-05-15,1283.4652,1330.1144,1322.7702,1310.8019
3779,2020-05-14,1296.6122,1356.7711,1301.5084,1334.6479
3778,2020-05-13,1318.3275,1391.5427,1356.7711,1391.5427
3777,2020-05-12,1319.234,1430.7568,1342.128,1430.7568
3776,2020-05-11,1425.3168,1464.1684,1429.6236,1434.3836
3775,2020-05-08,1394.1266,1432.2982,1416.0684,1405.3696
3774,2020-05-07,1310.0764,1372.4568,1366.6086,1314.7006
3773,2020-05-06,1311.0738,1345.528,1325.2634,1325.5808
3772,2020-05-05,1311.9804,1340.8132,1324.6742,1315.6526
3771,2020-05-04,1287.2732,1328.2102,1301.4628,1307.447
3770,2020-04-30,1305.6336,1355.0482,1330.1596,1318.3274
3769,2020-04-29,1287.9532,1317.466,1293.1214,1311.0738
3768,2020-04-28,1262.0672,1319.0074,1294.844,1315.97
3767,2020-04-27,1290.1746,1336.9598,1296.8388,1305.6336
3766,2020-04-24,1222.2182,1355.5016,1285.0972,1228.4744
3765,2020-04-23,1227.885,1256.5364,1243.5254,1241.8934
3764,2020-04-22,1178.697,1255.4936,1236.1358,1196.8308
3763,2020-04-21,1055.7952,1135.6746,1120.7142,1095.3722
3762,2020-04-20,1090.1134,1139.7094,1128.3304,1112.0554
3761,2020-04-17,1081.4092,1115.138,1110.7406,1106.1618
3760,2020-04-16,1039.6108,1076.5584,1059.6486,1039.6108
3759,2020-04-15,1036.0746,1120.6236,1042.7388,1088.9348
3758,2020-04-13,1069.8942,1101.6284,1078.2812,1095.2816
3757,2020-04-09,1081.9078,1117.7222,1105.4364,1098.183
3756,2020-04-08,1053.4378,1114.2768,1080.9106,1065.3608
3755,2020-04-07,998.2658,1100.4496,1093.8308,1002.7992
3754,2020-04-03,958.3714,1026.0104,977.5932,1024.5598
3753,2020-04-01,947.2644,1019.981,979.8146,1012.0474
3752,2020-03-31,950.9366,1023.653,1008.6474,971.065
3751,2020-03-30,924.8238,973.785,936.0214,950.1658
3750,2020-03-27,949.5312,1004.3406,966.0782,997.359
3749,2020-03-26,945.8138,1012.9088,974.4652,988.2922
3748,2020-03-25,862.2622,1044.507,980.3586,862.2622
3747,2020-03-24,812.213,879.852,855.0994,855.0086
3746,2020-03-23,793.9884,863.169,801.378,834.1548
3745,2020-03-20,843.267,937.2454,925.0052,851.382
3744,2020-03-19,807.8608,877.2226,831.5254,838.6882
3743,2020-03-18,871.5104,938.5148,878.4466,927.544
3742,2020-03-17,910.3168,960.1848,914.7596,944.0456
3741,2020-03-16,911.7222,978.9078,920.517,966.2142
3740,2020-03-13,852.1526,1033.536,1003.6152,911.2234
3739,2020-03-12,951.5712,997.9938,962.5422,985.572
3738,2020-03-11,1006.426,1068.4436,1045.6402,1009.282
3737,2020-03-09,992.7802,1128.829,1009.282,1128.829
3736,2020-03-06,1125.7464,1168.1342,1151.5416,1156.9364
3735,2020-03-05,1184.1372,1231.6024,1189.124,1224.0316
3734,2020-03-04,1186.0412,1226.7516,1214.194,1224.2582
3733,2020-03-03,1198.4628,1227.069,1218.274,1205.8978
3732,2020-03-02,1181.8704,1241.032,1192.1614,1231.6478
3731,2020-02-28,1201.3642,1232.0104,1204.6738,1232.0104
3730,2020-02-27,1241.8026,1263.8806,1256.491,1260.2992
3729,2020-02-26,1257.8058,1282.9664,1261.5686,1280.337
3728,2020-02-25,1278.433,1315.97,1284.145,1314.7006
3727,2020-02-24,1305.271,1339.1812,1310.031,1339.1812
3726,2020-02-20,1345.0294,1367.2432,1346.888,1358.8564
3725,2020-02-19,1337.8664,1365.9286,1363.8432,1337.8664
3724,2020-02-18,1321.954,1340.9946,1329.2982,1340.9946
3723,2020-02-17,1337.0504,1365.4752,1340.4506,1350.9682
3722,2020-02-14,1317.6926,1360.9418,1347.9308,1339.9518
3721,2020-02-13,1326.2156,1341.6292,1336.4158,1341.6292
3720,2020-02-12,1320.1406,1336.4612,1332.8344,1321.9088
3719,2020-02-11,1310.2124,1328.8902,1317.058,1310.8472
3718,2020-02-10,1279.385,1310.7112,1302.687,1296.5668
3717,2020-02-07,1295.2068,1317.2392,1299.9668,1317.2392
3716,2020-02-06,1305.815,1329.6156,1321.6368,1317.4206
3715,2020-02-05,1296.748,1316.786,1312.9324,1300.1936
3714,2020-02-04,1267.462,1298.2442,1292.804,1267.5526
3713,2020-02-03,1236.2718,1268.4594,1256.5364,1243.9788
3712,2020-01-31,1276.1208,1318.554,1279.9744,1315.6072
3711,2020-01-30,1305.6336,1345.4826,1307.9004,1345.4826
3710,2020-01-29,1328.3008,1355.003,1341.6292,1338.2744
3709,2020-01-28,1327.5756,1369.51,1334.0584,1366.4272
3708,2020-01-27,1364.5684,1382.113,1366.0192,1373.6808
3707,2020-01-24,1376.9448,1393.0838,1379.7102,1385.4224
3706,2020-01-23,1379.0756,1397.708,1384.5156,1394.852
3705,2020-01-22,1388.0518,1402.3774,1390.0464,1396.8014
3704,2020-01-21,1380.889,1401.6974,1390.8172,1386.9638
3703,2020-01-20,1384.5156,1459.3176,1389.0492,1458.003
3702,2020-01-17,1406.4122,1436.9224,1433.1596,1406.4122
3701,2020-01-16,1385.8758,1399.0228,1394.2172,1386.3744
3700,2020-01-15,1377.2622,1396.7106,1381.7956,1394.9426
3699,2020-01-14,1380.617,1405.8228,1386.3744,1398.524
3698,2020-01-13,1395.0786,1413.0764,1399.4308,1402.6494
3697,2020-01-10,1396.3934,1412.3964,1403.2842,1405.3696
3696,2020-01-09,1388.9132,1405.1882,1403.5108,1393.8092
3695,2020-01-08,1367.2886,1391.2706,1372.6834,1367.2886
3694,2020-01-07,1373.1368,1390.8626,1382.7476,1378.1688
3693,2020-01-06,1357.7684,1385.4224,1361.395,1384.5156
3692,2020-01-03,1381.2516,1397.4814,1393.8092,1391.2252
3691,2020-01-02,1371.822,1397.028,1392.0866,1372.7288
3690,2020-01-01,1364.8858,1384.8784,1368.83,1374.6328
3689,2019-12-31,1368.286,1400.564,1372.8194,1400.564
3688,2019-12-30,1385.6944,1402.6494,1400.1108,1399.0228
3687,2019-12-27,1379.4836,1401.5614,1398.252,1382.7022
3686,2019-12-26,1369.9634,1408.3616,1374.4968,1401.6974
3685,2019-12-24,1398.796,1425.4528,1401.6974,1424.3194
3684,2019-12-23,1409.903,1429.8502,1424.41,1409.903
3683,2019-12-20,1446.76,1466.8432,1450.16,1460.859
3682,2019-12-19,1425.634,1464.3044,1455.3736,1427.7648
3681,2019-12-18,1416.2498,1432.5702,1428.6714,1416.3858
3680,2019-12-17,1410.447,1432.117,1416.3858,1423.322
3679,2019-12-16,1417.7006,1444.3572,1420.3752,1441.0024
3678,2019-12-13,1425.8154,1441.6372,1434.7916,1428.0368
3677,2019-12-12,1411.943,1426.7674,1421.2366,1420.7832
3676,2019-12-11,1406.2762,1428.1728,1416.7938,1412.1698
3675,2019-12-10,1409.223,1427.8554,1416.4312,1425.226
3674,2019-12-09,1403.2388,1430.1222,1425.8154,1409.1324
3673,2019-12-06,1397.572,1421.8714,1409.8576,1412.623
3672,2019-12-05,1399.9294,1432.4342,1405.6416,1431.6636
3671,2019-12-04,1390.3638,1429.8956,1407.6816,1423.73
3670,2019-12-03,1426.314,1444.6746,1431.5276,1442.5438
3669,2019-12-02,1430.4848,1463.3978,1438.2824,1446.1706
3668,2019-11-29,1403.5562,1434.3836,1406.1856,1434.3836
3667,2019-11-28,1418.4258,1436.197,1432.525,1425.77
3666,2019-11-27,1411.1724,1428.0368,1423.2766,1415.3432
3665,2019-11-26,1410.8096,1428.9434,1413.3938,1422.9594
3664,2019-11-25,1406.2762,1418.6072,1415.0712,1406.2762
3663,2019-11-22,1394.3986,1423.1406,1402.1054,1399.0228
3662,2019-11-21,1385.9664,1411.0816,1393.8092,1403.1028
3661,2019-11-20,1399.5214,1425.1808,1402.6948,1407.6816
3660,2019-11-19,1328.7542,1373.59,1368.9206,1330.5676
3659,2019-11-18,1314.6552,1347.3414,1322.4074,1334.0584
3658,2019-11-15,1326.7142,1347.7948,1332.1996,1328.5276
3657,2019-11-14,1320.186,1342.808,1326.8502,1337.3678
3656,2019-11-13,1296.5668,1337.3678,1334.6478,1297.4734
3655,2019-11-11,1290.5372,1309.3058,1294.572,1305.6336
3654,2019-11-08,1306.5404,1323.4048,1310.4844,1322.498
3653,2019-11-07,1299.2414,1326.3968,1322.6794,1303.8202
3652,2019-11-06,1295.388,1311.2552,1298.4708,1310.8018
3651,2019-11-05,1306.1776,1331.9276,1312.5244,1322.4528
3650,2019-11-04,1310.167,1333.877,1321.274,1329.2076
3649,2019-11-01,1306.631,1325.6262,1321.0474,1323.6768
3648,2019-10-31,1324.6742,1350.5148,1327.5756,1343.9412
3647,2019-10-30,1324.1302,1345.528,1340.7226,1341.992
3646,2019-10-29,1307.6736,1342.264,1330.205,1307.6736
3645,2019-10-25,1280.065,1305.8604,1297.2014,1303.367
3644,2019-10-24,1257.3524,1306.5404,1302.2336,1269.4114
3643,2019-10-23,1254.315,1292.4866,1262.8832,1284.7798
3642,2019-10-22,1272.9928,1303.503,1282.2864,1293.892
3641,2019-10-18,1269.094,1294.7534,1283.2384,1272.1768
